open_time,open,high,low,close,volume,close_time
1759838400000,124453.37000000,124526.06000000,124414.91000000,124441.03000000,82.71923000,1759839299999
1759839300000,124441.04000000,124477.14000000,124365.15000000,124438.00000000,125.07058000,1759840199999
1759840200000,124438.00000000,124590.38000000,124340.00000000,124590.38000000,150.14723000,1759841099999
1759841100000,124590.38000000,125126.00000000,124590.37000000,124917.99000000,389.59559000,1759841999999
1759842000000,124918.00000000,125046.16000000,124739.92000000,124742.81000000,274.95449000,1759842899999
1759842900000,124742.81000000,124812.00000000,124629.25000000,124804.14000000,131.16508000,1759843799999
1759843800000,124804.14000000,124804.14000000,123643.33000000,123792.20000000,544.19548000,1759844699999
1759844700000,123792.20000000,123951.78000000,123288.00000000,123891.68000000,784.57595000,1759845599999
1759845600000,123891.68000000,124000.00000000,122750.00000000,122831.93000000,924.57224000,1759846499999
1759846500000,122831.93000000,123322.30000000,122772.46000000,122887.64000000,392.54186000,1759847399999
1759847400000,122887.64000000,123035.62000000,122575.48000000,122815.93000000,450.08264000,1759848299999
1759848300000,122815.94000000,123000.00000000,122568.00000000,122725.36000000,311.72096000,1759849199999
1759849200000,122725.36000000,122865.36000000,121695.95000000,121951.08000000,966.89870000,1759850099999
1759850100000,121951.08000000,122371.28000000,121852.16000000,122079.96000000,428.76087000,1759850999999
1759851000000,122079.97000000,122124.00000000,121172.89000000,121683.26000000,832.58990000,1759851899999
1759851900000,121683.26000000,121878.96000000,121335.02000000,121846.01000000,570.42375000,1759852799999
1759852800000,121846.01000000,121860.25000000,121391.01000000,121531.67000000,510.63469000,1759853699999
1759853700000,121531.68000000,121650.26000000,120800.02000000,121143.21000000,611.80482000,1759854599999
1759854600000,121143.21000000,121855.17000000,121140.80000000,121763.39000000,459.70746000,1759855499999
1759855500000,121763.38000000,122084.14000000,121622.21000000,121684.17000000,469.46322000,1759856399999
1759856400000,121684.17000000,121822.58000000,121340.72000000,121477.61000000,427.58127000,1759857299999
1759857300000,121477.60000000,121550.00000000,121222.84000000,121295.55000000,345.15793000,1759858199999
1759858200000,121295.55000000,121426.31000000,121164.25000000,121406.31000000,159.89381000,1759859099999
1759859100000,121406.30000000,121589.37000000,121100.00000000,121130.02000000,308.49948000,1759859999999
1759860000000,121130.02000000,121306.13000000,120861.45000000,121183.42000000,277.32073000,1759860899999
1759860900000,121183.41000000,121225.40000000,120574.94000000,120747.51000000,454.74432000,1759861799999
1759861800000,120747.51000000,120915.06000000,120600.00000000,120791.11000000,191.88233000,1759862699999
1759862700000,120791.10000000,120984.21000000,120758.93000000,120895.37000000,175.65757000,1759863599999
1759863600000,120895.37000000,121560.66000000,120860.46000000,121447.24000000,331.15997000,1759864499999
1759864500000,121447.25000000,121590.00000000,121224.99000000,121270.00000000,259.87117000,1759865399999
1759865400000,121270.00000000,121541.97000000,121263.37000000,121382.64000000,310.37886000,1759866299999
1759866300000,121382.63000000,122027.30000000,121350.06000000,121637.17000000,433.13837000,1759867199999
1759867200000,121637.18000000,122150.00000000,121637.18000000,122042.94000000,204.30055000,1759868099999
1759868100000,122042.95000000,122196.48000000,121953.91000000,122196.47000000,119.52036000,1759868999999
1759869000000,122196.47000000,122196.48000000,122030.49000000,122072.07000000,76.87310000,1759869899999
1759869900000,122072.07000000,122193.09000000,121907.86000000,121943.61000000,92.93413000,1759870799999
1759870800000,121943.61000000,122180.00000000,121765.90000000,121992.27000000,125.77929000,1759871699999
1759871700000,121992.27000000,122292.62000000,121958.14000000,122248.21000000,95.03518000,1759872599999
1759872600000,122248.21000000,122248.21000000,121814.54000000,122018.54000000,102.11751000,1759873499999
1759873500000,122018.55000000,122018.55000000,121787.47000000,122016.00000000,74.97919000,1759874399999
1759874400000,122016.00000000,122046.36000000,121797.60000000,122030.71000000,119.69055000,1759875299999
1759875300000,122030.70000000,122173.50000000,121880.37000000,121916.73000000,113.90756000,1759876199999
1759876200000,121916.73000000,122047.37000000,121823.58000000,121930.86000000,115.52923000,1759877099999
1759877100000,121930.87000000,122011.18000000,121926.04000000,122011.17000000,55.18385000,1759877999999
1759878000000,122011.17000000,122022.88000000,121768.69000000,121801.41000000,79.00015000,1759878899999
1759878900000,121801.41000000,121851.50000000,121587.92000000,121662.19000000,113.66425000,1759879799999
1759879800000,121662.20000000,121662.20000000,121367.48000000,121465.81000000,217.35204000,1759880699999
1759880700000,121465.82000000,121524.48000000,121258.08000000,121332.95000000,167.64652000,1759881599999
1759881600000,121332.96000000,121614.66000000,121332.96000000,121551.37000000,129.34341000,1759882499999
1759882500000,121551.38000000,121802.38000000,121551.38000000,121587.80000000,132.40665000,1759883399999
1759883400000,121587.80000000,121952.71000000,121276.00000000,121889.93000000,208.27662000,1759884299999
1759884300000,121889.92000000,122089.68000000,121799.99000000,121914.09000000,181.71223000,1759885199999
1759885200000,121914.09000000,122030.50000000,121676.56000000,121706.19000000,171.35321000,1759886099999
1759886100000,121706.19000000,122056.00000000,121605.75000000,121833.45000000,160.84506000,1759886999999
1759887000000,121833.45000000,121959.74000000,121750.00000000,121793.64000000,116.94182000,1759887899999
1759887900000,121793.63000000,121955.50000000,121775.28000000,121950.01000000,70.42369000,1759888799999
1759888800000,121950.00000000,121983.13000000,121825.74000000,121938.97000000,94.07879000,1759889699999
1759889700000,121938.97000000,122229.66000000,121938.97000000,122186.01000000,164.86665000,1759890599999
1759890600000,122186.02000000,122186.02000000,121870.28000000,121910.78000000,114.14037000,1759891499999
1759891500000,121910.79000000,122090.56000000,121860.14000000,122048.28000000,161.02685000,1759892399999
1759892400000,122048.28000000,122048.28000000,121723.53000000,121723.53000000,193.70826000,1759893299999
1759893300000,121723.54000000,121821.07000000,121395.37000000,121453.24000000,191.05713000,1759894199999
1759894200000,121452.76000000,121509.48000000,121310.00000000,121310.01000000,166.48681000,1759895099999
1759895100000,121310.00000000,121436.82000000,121200.00000000,121374.75000000,150.10071000,1759895999999
1759896000000,121374.76000000,121484.37000000,121066.14000000,121384.41000000,206.80177000,1759896899999
1759896900000,121384.41000000,121597.87000000,121340.00000000,121471.37000000,152.68839000,1759897799999
1759897800000,121471.37000000,121786.57000000,121471.37000000,121600.91000000,207.88051000,1759898699999
1759898700000,121600.92000000,121910.24000000,121600.92000000,121900.00000000,145.09113000,1759899599999
1759899600000,121900.01000000,121900.01000000,121650.00000000,121759.31000000,164.90739000,1759900499999
1759900500000,121759.30000000,121776.95000000,121272.48000000,121390.20000000,224.81042000,1759901399999
1759901400000,121390.20000000,121524.09000000,121292.76000000,121292.76000000,187.21003000,1759902299999
1759902300000,121292.75000000,121374.02000000,121173.86000000,121374.01000000,131.92487000,1759903199999
1759903200000,121374.02000000,121425.69000000,121068.96000000,121306.12000000,136.93477000,1759904099999
1759904100000,121306.12000000,121500.00000000,121162.25000000,121411.42000000,115.15729000,1759904999999
1759905000000,121411.43000000,121575.85000000,121391.57000000,121575.81000000,127.39869000,1759905899999
1759905900000,121575.80000000,121841.54000000,121575.80000000,121784.29000000,172.70643000,1759906799999
1759906800000,121784.30000000,121872.37000000,121624.80000000,121666.22000000,206.25136000,1759907699999
1759907700000,121666.22000000,121698.23000000,121493.58000000,121553.73000000,182.14198000,1759908599999
1759908600000,121553.74000000,121571.39000000,121311.91000000,121481.31000000,166.17323000,1759909499999
1759909500000,121481.30000000,121597.06000000,121331.62000000,121597.06000000,142.78118000,1759910399999
1759910400000,121597.05000000,121812.78000000,121538.48000000,121563.03000000,244.15824000,1759911299999
1759911300000,121563.03000000,122000.00000000,121524.01000000,121916.41000000,337.31281000,1759912199999
1759912200000,121916.42000000,122821.25000000,121916.42000000,122821.24000000,673.24438000,1759913099999
1759913100000,122821.24000000,122850.00000000,122342.37000000,122381.85000000,207.63761000,1759913999999
1759914000000,122381.84000000,122644.00000000,122381.84000000,122561.77000000,159.71610000,1759914899999
1759914900000,122561.78000000,122620.55000000,122451.01000000,122531.86000000,102.42310000,1759915799999
1759915800000,122531.86000000,122584.00000000,122390.00000000,122463.72000000,154.52622000,1759916699999
1759916700000,122463.71000000,122516.99000000,122381.99000000,122516.98000000,57.49140000,1759917599999
1759917600000,122516.99000000,122808.24000000,122498.05000000,122560.51000000,103.12567000,1759918499999
1759918500000,122560.50000000,122705.42000000,122517.50000000,122608.00000000,101.77974000,1759919399999
1759919400000,122608.00000000,123100.00000000,122577.90000000,122974.02000000,300.19493000,1759920299999
1759920300000,122974.02000000,123012.33000000,122881.24000000,122934.60000000,149.19814000,1759921199999
1759921200000,122934.61000000,123200.00000000,122820.46000000,123123.30000000,157.96940000,1759922099999
1759922100000,123123.31000000,123150.01000000,122836.76000000,123020.69000000,355.97122000,1759922999999
1759923000000,123020.69000000,123100.01000000,122809.42000000,122811.21000000,229.82529000,1759923899999
1759923900000,122811.21000000,122915.07000000,122743.36000000,122884.14000000,74.16619000,1759924799999
1759924800000,122884.14000000,123090.75000000,122720.00000000,122990.92000000,181.18029000,1759925699999
1759925700000,122990.91000000,123033.07000000,122650.00000000,122756.76000000,117.23383000,1759926599999
1759926600000,122756.76000000,122756.77000000,122608.75000000,122670.21000000,90.56669000,1759927499999
1759927500000,122670.22000000,122730.36000000,122542.27000000,122631.52000000,75.28009000,1759928399999
1759928400000,122631.52000000,122774.96000000,122396.80000000,122648.50000000,128.16597000,1759929299999
1759929300000,122648.49000000,122718.70000000,122497.16000000,122497.16000000,69.11341000,1759930199999
1759930200000,122497.17000000,122694.80000000,121700.00000000,121898.24000000,428.38043000,1759931099999
1759931100000,121898.25000000,122660.22000000,121649.68000000,122599.04000000,261.23872000,1759931999999
1759932000000,122599.04000000,123350.00000000,122599.04000000,122825.01000000,719.85286000,1759932899999
1759932900000,122825.00000000,123092.12000000,122419.53000000,122590.73000000,218.63105000,1759933799999
1759933800000,122590.72000000,122856.03000000,122260.00000000,122484.63000000,275.35604000,1759934699999
1759934700000,122484.63000000,122624.67000000,122112.16000000,122320.00000000,248.90464000,1759935599999
1759935600000,122319.99000000,122622.55000000,122226.19000000,122489.21000000,140.63360000,1759936499999
1759936500000,122489.21000000,122550.29000000,122203.12000000,122448.01000000,127.98993000,1759937399999
1759937400000,122448.01000000,122450.01000000,122240.02000000,122355.54000000,94.25841000,1759938299999
1759938300000,122355.54000000,122355.55000000,121954.34000000,122189.72000000,196.58234000,1759939199999
1759939200000,122189.72000000,122726.51000000,122110.08000000,122726.51000000,153.06863000,1759940099999
1759940100000,122726.52000000,122926.48000000,122612.00000000,122672.51000000,163.90998000,1759940999999
1759941000000,122672.51000000,122740.00000000,122562.18000000,122711.97000000,110.14932000,1759941899999
1759941900000,122711.98000000,123129.23000000,122701.47000000,123051.03000000,214.81975000,1759942799999
1759942800000,123051.02000000,123669.93000000,122958.05000000,123669.93000000,459.49842000,1759943699999
1759943700000,123669.93000000,123982.37000000,123494.79000000,123792.35000000,435.41350000,1759944599999
1759944600000,123792.36000000,124032.08000000,123650.00000000,123774.81000000,249.13788000,1759945499999
1759945500000,123774.81000000,124164.36000000,123690.23000000,124033.19000000,192.41447000,1759946399999
1759946400000,124033.19000000,124197.25000000,123813.58000000,123870.77000000,261.12042000,1759947299999
1759947300000,123870.77000000,123880.86000000,123565.38000000,123615.28000000,236.45323000,1759948199999
1759948200000,123615.27000000,123794.60000000,123415.58000000,123564.95000000,379.55146000,1759949099999
1759949100000,123564.95000000,123826.34000000,123460.21000000,123460.22000000,275.23327000,1759949999999
1759950000000,123460.21000000,123524.48000000,123220.96000000,123260.00000000,154.31069000,1759950899999
1759950900000,123260.01000000,123657.48000000,123160.82000000,123638.22000000,163.87845000,1759951799999
1759951800000,123638.23000000,123759.94000000,123400.00000000,123432.01000000,168.04859000,1759952699999
1759952700000,123432.01000000,123586.01000000,123409.51000000,123450.00000000,178.52215000,1759953599999
1759953600000,123450.01000000,123517.25000000,123313.82000000,123495.97000000,100.85775000,1759954499999
1759954500000,123495.97000000,123737.00000000,123484.61000000,123563.37000000,107.58028000,1759955399999
1759955400000,123563.38000000,123565.38000000,123341.00000000,123361.82000000,74.17215000,1759956299999
1759956300000,123361.83000000,123385.45000000,122814.00000000,122856.69000000,390.99535000,1759957199999
1759957200000,122856.70000000,123162.85000000,122794.40000000,123093.21000000,117.31625000,1759958099999
1759958100000,123093.21000000,123317.62000000,123093.20000000,123279.46000000,61.14581000,1759958999999
1759959000000,123279.46000000,123332.01000000,123265.28000000,123332.01000000,40.80198000,1759959899999
1759959900000,123332.00000000,123332.01000000,123181.75000000,123277.33000000,42.67325000,1759960799999
1759960800000,123277.34000000,123416.73000000,123277.34000000,123354.71000000,47.32868000,1759961699999
1759961700000,123354.70000000,123400.68000000,123279.64000000,123290.96000000,34.57886000,1759962599999
1759962600000,123290.97000000,123355.06000000,123290.96000000,123314.44000000,25.36719000,1759963499999
1759963500000,123314.44000000,123330.03000000,123200.81000000,123200.82000000,24.97846000,1759964399999
1759964400000,123200.82000000,123200.82000000,123056.31000000,123140.00000000,64.29516000,1759965299999
1759965300000,123140.00000000,123478.25000000,123139.99000000,123478.25000000,73.26378000,1759966199999
1759966200000,123478.26000000,123537.11000000,123350.00000000,123350.00000000,88.95432000,1759967099999
1759967100000,123350.01000000,123369.72000000,123304.47000000,123306.00000000,63.04208000,1759967999999
1759968000000,123306.01000000,123348.32000000,123030.02000000,123118.56000000,66.67470000,1759968899999
1759968900000,123118.57000000,123269.82000000,123051.84000000,123062.25000000,67.00032000,1759969799999
1759969800000,123062.25000000,123109.80000000,122873.92000000,122963.93000000,101.05938000,1759970699999
1759970700000,122963.93000000,123112.31000000,122839.15000000,122839.15000000,148.45470000,1759971599999
1759971600000,122839.16000000,122857.32000000,122583.00000000,122625.73000000,149.42106000,1759972499999
1759972500000,122625.72000000,122769.96000000,122515.44000000,122525.48000000,161.12143000,1759973399999
1759973400000,122525.48000000,122525.49000000,122339.41000000,122339.42000000,148.79366000,1759974299999
1759974300000,122339.42000000,122562.40000000,122339.41000000,122548.23000000,190.22744000,1759975199999
1759975200000,122548.23000000,122548.23000000,122053.75000000,122267.01000000,201.84738000,1759976099999
1759976100000,122267.02000000,122319.24000000,121954.74000000,121994.82000000,138.82989000,1759976999999
1759977000000,121994.82000000,122116.37000000,121594.85000000,121679.45000000,219.98028000,1759977899999
1759977900000,121679.45000000,121807.22000000,121475.98000000,121617.81000000,271.19813000,1759978799999
1759978800000,121617.81000000,121961.39000000,121603.59000000,121818.55000000,185.34856000,1759979699999
1759979700000,121818.54000000,122120.28000000,121818.54000000,121969.04000000,121.49936000,1759980599999
1759980600000,121969.05000000,122073.63000000,121897.74000000,121897.75000000,83.50162000,1759981499999
1759981500000,121897.75000000,122049.26000000,121897.74000000,122038.01000000,64.22048000,1759982399999
1759982400000,122038.01000000,122100.00000000,121904.81000000,121915.39000000,111.85294000,1759983299999
1759983300000,121915.40000000,122264.00000000,121915.39000000,122236.27000000,89.22244000,1759984199999
1759984200000,122236.26000000,122236.27000000,122011.04000000,122028.99000000,67.50870000,1759985099999
1759985100000,122029.00000000,122174.99000000,122028.57000000,122144.70000000,59.88918000,1759985999999
1759986000000,122144.70000000,122196.99000000,121915.98000000,121915.99000000,81.33961000,1759986899999
1759986900000,121915.99000000,122042.43000000,121878.99000000,122010.24000000,112.89201000,1759987799999
1759987800000,122010.25000000,122127.21000000,121823.94000000,121954.29000000,145.58033000,1759988699999
1759988700000,121954.29000000,122136.99000000,121902.07000000,122100.92000000,54.93580000,1759989599999
1759989600000,122100.92000000,122119.65000000,121913.58000000,121945.56000000,81.69261000,1759990499999
1759990500000,121945.56000000,122144.40000000,121883.43000000,122096.40000000,74.85675000,1759991399999
1759991400000,122096.41000000,122185.98000000,122042.01000000,122112.20000000,48.54922000,1759992299999
1759992300000,122112.20000000,122163.33000000,121894.00000000,121957.32000000,131.30580000,1759993199999
1759993200000,121957.32000000,122064.00000000,121941.73000000,121978.70000000,88.56006000,1759994099999
1759994100000,121978.70000000,122067.61000000,121808.85000000,121876.39000000,94.73595000,1759994999999
1759995000000,121876.39000000,121893.59000000,121737.08000000,121737.09000000,96.56451000,1759995899999
1759995900000,121737.09000000,121992.38000000,121724.71000000,121906.10000000,111.66199000,1759996799999
1759996800000,121906.09000000,121960.97000000,121685.69000000,121734.21000000,129.41313000,1759997699999
1759997700000,121734.20000000,121734.21000000,121179.95000000,121180.00000000,332.24599000,1759998599999
1759998600000,121180.00000000,121612.00000000,121168.13000000,121330.12000000,276.02749000,1759999499999
1759999500000,121330.12000000,121508.57000000,121145.49000000,121261.62000000,213.55551000,1760000399999
1760000400000,121261.62000000,121671.24000000,121261.62000000,121594.87000000,143.83261000,1760001299999
1760001300000,121594.86000000,121758.00000000,121517.79000000,121699.86000000,133.61442000,1760002199999
1760002200000,121699.87000000,121820.84000000,121662.79000000,121672.09000000,83.17641000,1760003099999
1760003100000,121672.10000000,121855.44000000,121604.85000000,121813.04000000,134.93269000,1760003999999
1760004000000,121813.04000000,121900.00000000,121751.14000000,121866.99000000,56.43253000,1760004899999
1760004900000,121866.99000000,121881.96000000,121650.22000000,121736.35000000,77.87980000,1760005799999
1760005800000,121736.35000000,122314.37000000,121736.34000000,122230.43000000,198.28276000,1760006699999
1760006700000,122230.43000000,122340.00000000,122098.08000000,122170.27000000,130.02858000,1760007599999
1760007600000,122170.26000000,122367.25000000,122170.26000000,122246.81000000,154.62759000,1760008499999
1760008500000,122246.82000000,122767.64000000,122246.81000000,122680.97000000,346.07513000,1760009399999
1760009400000,122680.96000000,122833.02000000,122596.72000000,122825.11000000,167.34574000,1760010299999
1760010300000,122825.11000000,122825.12000000,122683.41000000,122737.57000000,111.97068000,1760011199999
1760011200000,122737.56000000,123125.48000000,122709.10000000,123005.43000000,303.05879000,1760012099999
1760012100000,123005.43000000,123136.41000000,122954.74000000,123012.31000000,166.51924000,1760012999999
1760013000000,123012.31000000,123762.94000000,122933.22000000,123548.79000000,727.43585000,1760013899999
1760013900000,123548.79000000,123652.24000000,123321.45000000,123563.38000000,286.29897000,1760014799999
1760014800000,123563.38000000,123658.38000000,123183.42000000,123233.68000000,258.63421000,1760015699999
1760015700000,123233.69000000,123500.00000000,123203.27000000,123461.86000000,156.53558000,1760016599999
1760016600000,123461.85000000,123461.86000000,122576.26000000,122756.00000000,334.24952000,1760017499999
1760017500000,122755.99000000,123083.85000000,122277.76000000,122415.74000000,483.71322000,1760018399999
1760018400000,122415.74000000,122608.00000000,121774.36000000,122448.49000000,689.57951000,1760019299999
1760019300000,122448.49000000,122515.36000000,121536.18000000,121690.27000000,547.24776000,1760020199999
1760020200000,121690.27000000,121822.56000000,121259.00000000,121270.44000000,510.99235000,1760021099999
1760021100000,121270.44000000,121463.63000000,120736.96000000,121315.00000000,865.62257000,1760021999999
1760022000000,121315.01000000,121734.27000000,121300.00000000,121346.25000000,294.94252000,1760022899999
1760022900000,121346.26000000,121417.23000000,121020.83000000,121045.29000000,241.91418000,1760023799999
1760023800000,121045.29000000,121060.66000000,120772.14000000,120790.00000000,319.75012000,1760024699999
1760024700000,120790.00000000,121280.00000000,120673.99000000,121147.14000000,379.56761000,1760025599999
1760025600000,121147.15000000,121401.88000000,121140.54000000,121246.07000000,203.25869000,1760026499999
1760026500000,121246.07000000,121481.90000000,121056.68000000,121250.00000000,334.12566000,1760027399999
1760027400000,121250.00000000,121308.98000000,120590.00000000,120815.97000000,483.72641000,1760028299999
1760028300000,120815.97000000,120877.14000000,119707.29000000,119819.77000000,1810.31782000,1760029199999
1760029200000,119819.76000000,120369.00000000,119651.47000000,120261.36000000,656.86097000,1760030099999
1760030100000,120261.37000000,120520.85000000,120128.23000000,120259.08000000,376.86712000,1760030999999
1760031000000,120259.08000000,120609.66000000,120246.67000000,120461.87000000,302.28638000,1760031899999
1760031900000,120461.86000000,121046.15000000,120417.96000000,120974.00000000,335.38350000,1760032799999
1760032800000,120971.22000000,121100.00000000,120678.77000000,120762.60000000,286.58316000,1760033699999
1760033700000,120762.60000000,120917.99000000,120557.95000000,120696.90000000,275.38907000,1760034599999
1760034600000,120696.90000000,120702.32000000,120396.00000000,120595.63000000,228.21302000,1760035499999
1760035500000,120595.63000000,120717.96000000,120496.09000000,120649.32000000,166.12479000,1760036399999
1760036400000,120649.33000000,120953.54000000,120649.32000000,120939.58000000,172.06140000,1760037299999
1760037300000,120939.58000000,121107.88000000,120826.53000000,121099.99000000,185.44852000,1760038199999
1760038200000,121100.00000000,121108.12000000,120810.34000000,120846.00000000,185.47838000,1760039099999
1760039100000,120846.00000000,121055.72000000,120838.76000000,120951.72000000,171.93480000,1760039999999
1760040000000,120951.72000000,121146.00000000,120854.00000000,120854.00000000,220.15408000,1760040899999
1760040900000,120854.00000000,120966.00000000,120838.00000000,120870.23000000,128.42942000,1760041799999
1760041800000,120870.23000000,121000.00000000,120870.23000000,121000.00000000,88.28105000,1760042699999
1760042700000,121000.00000000,121199.97000000,120913.18000000,121109.09000000,306.80641000,1760043599999
1760043600000,121109.08000000,121389.24000000,121065.77000000,121370.75000000,127.07952000,1760044499999
1760044500000,121370.76000000,121490.00000000,121301.22000000,121333.76000000,80.72766000,1760045399999
1760045400000,121333.76000000,121512.70000000,121251.69000000,121444.82000000,124.40052000,1760046299999
1760046300000,121444.82000000,121493.75000000,121324.67000000,121461.02000000,104.01536000,1760047199999
1760047200000,121461.03000000,121528.46000000,121411.55000000,121477.15000000,72.62193000,1760048099999
1760048100000,121477.15000000,121599.00000000,121465.02000000,121544.05000000,142.39635000,1760048999999
1760049000000,121544.04000000,121680.00000000,121478.25000000,121673.76000000,106.14603000,1760049899999
1760049900000,121673.77000000,121768.01000000,121653.09000000,121686.19000000,146.81936000,1760050799999
1760050800000,121686.19000000,121686.19000000,121436.47000000,121460.13000000,153.35440000,1760051699999
1760051700000,121460.13000000,121536.00000000,121341.22000000,121506.90000000,135.64553000,1760052599999
1760052600000,121506.90000000,121525.64000000,121426.07000000,121525.63000000,60.28918000,1760053499999
1760053500000,121525.63000000,121900.00000000,121504.26000000,121662.40000000,362.30423000,1760054399999
1760054400000,121662.41000000,121754.34000000,121595.75000000,121646.98000000,94.09338000,1760055299999
1760055300000,121646.99000000,121863.74000000,121646.99000000,121863.74000000,80.41182000,1760056199999
1760056200000,121863.74000000,121863.74000000,121702.06000000,121702.07000000,48.88791000,1760057099999
1760057100000,121702.07000000,121789.70000000,121611.59000000,121745.27000000,69.51048000,1760057999999
1760058000000,121745.26000000,121874.13000000,121731.35000000,121799.99000000,68.81180000,1760058899999
1760058900000,121799.99000000,121811.71000000,121639.89000000,121811.70000000,110.73447000,1760059799999
1760059800000,121811.71000000,121811.95000000,121489.06000000,121565.47000000,94.60162000,1760060699999
1760060700000,121565.47000000,121712.99000000,121539.82000000,121623.97000000,79.13569000,1760061599999
1760061600000,121623.96000000,121651.33000000,121227.23000000,121272.50000000,239.17874000,1760062499999
1760062500000,121272.50000000,121401.21000000,121242.01000000,121349.64000000,86.81548000,1760063399999
1760063400000,121349.65000000,121367.04000000,121066.55000000,121220.95000000,204.31662000,1760064299999
1760064300000,121220.96000000,121277.20000000,120900.00000000,121059.73000000,281.94034000,1760065199999
1760065200000,121059.73000000,121108.22000000,120909.15000000,121092.03000000,133.96251000,1760066099999
1760066100000,121092.03000000,121454.00000000,121092.02000000,121438.91000000,214.55705000,1760066999999
1760067000000,121438.91000000,121524.52000000,121430.75000000,121502.21000000,102.46779000,1760067899999
1760067900000,121502.21000000,121575.99000000,121026.00000000,121026.01000000,185.25575000,1760068799999
1760068800000,121026.00000000,121388.58000000,121018.33000000,121370.48000000,145.52054000,1760069699999
1760069700000,121370.48000000,121370.48000000,121174.31000000,121288.07000000,93.36011000,1760070599999
1760070600000,121288.07000000,121357.98000000,121066.65000000,121152.69000000,130.94474000,1760071499999
1760071500000,121152.68000000,121281.03000000,121125.28000000,121234.51000000,110.34839000,1760072399999
1760072400000,121234.52000000,121234.52000000,120986.08000000,121104.32000000,151.15817000,1760073299999
1760073300000,121104.33000000,121500.00000000,121086.45000000,121370.87000000,113.98273000,1760074199999
1760074200000,121370.88000000,121438.91000000,121204.43000000,121437.69000000,128.95722000,1760075099999
1760075100000,121437.68000000,121604.49000000,121437.68000000,121583.89000000,109.19760000,1760075999999
1760076000000,121583.89000000,121754.34000000,121550.91000000,121575.42000000,136.11027000,1760076899999
1760076900000,121575.43000000,121679.98000000,121512.18000000,121526.88000000,97.50727000,1760077799999
1760077800000,121526.88000000,121747.58000000,121469.43000000,121662.17000000,337.41755000,1760078699999
1760078700000,121662.17000000,121741.63000000,121265.26000000,121378.18000000,116.83068000,1760079599999
1760079600000,121378.19000000,121378.19000000,121204.25000000,121280.10000000,81.15766000,1760080499999
1760080500000,121280.10000000,121388.61000000,121216.62000000,121313.56000000,142.03854000,1760081399999
1760081400000,121313.56000000,121345.43000000,121096.36000000,121119.39000000,316.75865000,1760082299999
1760082300000,121119.38000000,121129.38000000,120855.41000000,120932.05000000,355.25967000,1760083199999
1760083200000,120932.05000000,121188.00000000,120916.44000000,121159.38000000,160.19676000,1760084099999
1760084100000,121159.38000000,121316.03000000,121159.37000000,121279.89000000,64.03158000,1760084999999
1760085000000,121279.89000000,121344.90000000,121218.66000000,121278.68000000,84.83918000,1760085899999
1760085900000,121278.68000000,121660.43000000,121278.68000000,121631.54000000,124.04548000,1760086799999
1760086800000,121631.54000000,121660.43000000,121507.68000000,121515.80000000,119.19523000,1760087699999
1760087700000,121515.80000000,121777.07000000,121480.67000000,121754.33000000,102.01380000,1760088599999
1760088600000,121754.33000000,121764.38000000,121655.28000000,121694.25000000,78.84703000,1760089499999
1760089500000,121694.25000000,121738.87000000,121276.56000000,121314.73000000,173.29412000,1760090399999
1760090400000,121314.73000000,121406.55000000,121312.31000000,121339.42000000,53.11504000,1760091299999
1760091300000,121339.42000000,121480.02000000,121320.31000000,121334.00000000,43.90519000,1760092199999
1760092200000,121334.00000000,121399.55000000,121228.83000000,121319.01000000,96.96470000,1760093099999
1760093100000,121319.01000000,121543.59000000,121289.02000000,121496.33000000,95.72131000,1760093999999
1760094000000,121496.34000000,121661.62000000,121496.33000000,121534.00000000,110.49782000,1760094899999
1760094900000,121534.01000000,121570.00000000,121424.50000000,121449.81000000,66.21768000,1760095799999
1760095800000,121449.82000000,121571.90000000,121449.81000000,121530.57000000,85.03293000,1760096699999
1760096700000,121530.56000000,121637.98000000,121458.02000000,121554.55000000,95.91909000,1760097599999
1760097600000,121554.55000000,121682.42000000,121462.85000000,121477.75000000,100.77055000,1760098499999
1760098500000,121477.75000000,121568.93000000,121452.73000000,121544.40000000,43.49502000,1760099399999
1760099400000,121544.40000000,121584.77000000,121420.00000000,121475.74000000,82.89730000,1760100299999
1760100300000,121475.74000000,121612.09000000,121475.74000000,121597.21000000,61.16498000,1760101199999
1760101200000,121597.22000000,121927.81000000,121597.21000000,121813.29000000,188.36507000,1760102099999
1760102100000,121813.29000000,122060.99000000,121696.05000000,121975.32000000,290.75692000,1760102999999
1760103000000,121975.31000000,122550.00000000,121791.75000000,122259.02000000,523.41958000,1760103899999
1760103900000,122259.01000000,122308.01000000,121384.60000000,121684.20000000,450.22850000,1760104799999
1760104800000,121684.18000000,122069.76000000,121470.49000000,121678.21000000,296.04502000,1760105699999
1760105700000,121678.20000000,121704.66000000,121148.50000000,121215.01000000,329.33360000,1760106599999
1760106600000,121215.01000000,121453.68000000,121182.13000000,121348.69000000,186.55866000,1760107499999
1760107500000,121348.69000000,121407.45000000,120479.20000000,120493.17000000,523.86760000,1760108399999
1760108400000,120493.16000000,120626.55000000,119931.00000000,120424.29000000,1030.93837000,1760109299999
1760109300000,120424.29000000,120497.96000000,119250.00000000,119252.86000000,1328.20267000,1760110199999
1760110200000,119252.86000000,119576.25000000,118500.00000000,119570.69000000,1723.74420000,1760111099999
